,source,num_labeled,percent_broken,pretrained,test,val,score
cmapss_two_baseline,2,4.0,0.4,autoencoder,40.85364532470703,38.680511474609375,181685.796875
cmapss_two_baseline,2,4.0,0.4,autoencoder,37.51359176635742,38.52618408203125,236980.578125
cmapss_two_baseline,2,4.0,0.4,autoencoder,23.93910789489746,24.689163208007812,6697.70361328125
cmapss_two_baseline,2,4.0,0.4,autoencoder,43.9737663269043,41.54884338378906,75761.484375
cmapss_two_baseline,2,4.0,0.4,autoencoder,33.237831115722656,32.07815170288086,218052.5625
cmapss_two_baseline,2,4.0,0.4,autoencoder,36.908233642578125,37.07469940185547,406164.875
cmapss_two_baseline,2,4.0,0.4,autoencoder,43.56005859375,41.778873443603516,62980.484375
cmapss_two_baseline,2,4.0,0.4,autoencoder,28.81173324584961,27.17772674560547,30898.927734375
cmapss_two_baseline,2,4.0,0.4,autoencoder,26.818031311035156,26.575599670410156,22394.3828125
cmapss_two_baseline,2,4.0,0.4,autoencoder,23.010520935058594,23.55432891845703,7286.87109375
cmapss_two_baseline,2,20.0,0.4,autoencoder,23.637279510498047,23.98546028137207,18281.00390625
cmapss_two_baseline,2,20.0,0.4,autoencoder,24.777185440063477,25.634986877441406,12604.6318359375
cmapss_two_baseline,2,20.0,0.4,autoencoder,21.547147750854492,23.674179077148438,5094.09814453125
cmapss_two_baseline,2,20.0,0.4,autoencoder,24.29789161682129,25.68538475036621,11679.8125
cmapss_two_baseline,2,20.0,0.4,autoencoder,22.412410736083984,22.73214340209961,6675.4345703125
cmapss_two_baseline,2,20.0,0.4,autoencoder,23.163545608520508,22.448307037353516,11354.55078125
cmapss_two_baseline,2,20.0,0.4,autoencoder,22.726089477539062,24.30877113342285,11342.787109375
cmapss_two_baseline,2,20.0,0.4,autoencoder,21.73086166381836,22.492733001708984,8223.2666015625
cmapss_two_baseline,2,20.0,0.4,autoencoder,22.631113052368164,24.12713050842285,10332.7578125
cmapss_two_baseline,2,20.0,0.4,autoencoder,24.314233779907227,24.454795837402344,25391.3046875
cmapss_two_baseline,2,41.0,0.4,autoencoder,22.297954559326172,22.99222755432129,13321.7216796875
cmapss_two_baseline,2,41.0,0.4,autoencoder,21.503265380859375,22.5748348236084,5330.630859375
cmapss_two_baseline,2,41.0,0.4,autoencoder,20.78512191772461,21.059383392333984,4210.1474609375
cmapss_two_baseline,2,41.0,0.4,autoencoder,20.843666076660156,21.429439544677734,3072.93359375
cmapss_two_baseline,2,41.0,0.4,autoencoder,22.26602554321289,22.309253692626953,14268.994140625
cmapss_two_baseline,2,41.0,0.4,autoencoder,22.274276733398438,22.964893341064453,4094.589599609375
cmapss_two_baseline,2,41.0,0.4,autoencoder,23.69597625732422,23.731508255004883,15964.7021484375
cmapss_two_baseline,2,41.0,0.4,autoencoder,22.462705612182617,23.15709114074707,8906.4375
cmapss_two_baseline,2,41.0,0.4,autoencoder,22.30497169494629,22.38339614868164,7808.19140625
cmapss_two_baseline,2,41.0,0.4,autoencoder,20.628826141357422,22.401126861572266,5344.1162109375
cmapss_two_baseline,2,83.0,0.4,autoencoder,20.42055320739746,21.370616912841797,4172.6474609375
cmapss_two_baseline,2,83.0,0.4,autoencoder,20.885671615600586,20.78955078125,4689.9443359375
cmapss_two_baseline,2,83.0,0.4,autoencoder,21.90165138244629,22.195125579833984,7797.474609375
cmapss_two_baseline,2,83.0,0.4,autoencoder,20.624422073364258,21.717227935791016,9132.5791015625
cmapss_two_baseline,2,83.0,0.4,autoencoder,20.761781692504883,20.965530395507812,6690.861328125
cmapss_two_baseline,2,83.0,0.4,autoencoder,19.274877548217773,21.354690551757812,4546.26611328125
cmapss_two_baseline,2,83.0,0.4,autoencoder,20.792993545532227,21.49913215637207,4279.38671875
cmapss_two_baseline,2,83.0,0.4,autoencoder,21.419456481933594,21.641698837280273,10221.8154296875
cmapss_two_baseline,2,83.0,0.4,autoencoder,19.251853942871094,20.65813446044922,3174.11669921875
cmapss_two_baseline,2,83.0,0.4,autoencoder,19.459444046020508,21.304901123046875,3247.738525390625
cmapss_two_baseline,2,208.0,0.4,autoencoder,16.83380889892578,18.535472869873047,1701.4697265625
cmapss_two_baseline,2,208.0,0.4,autoencoder,16.98723030090332,18.563716888427734,1258.534912109375
cmapss_two_baseline,2,208.0,0.4,autoencoder,16.897899627685547,17.99474334716797,1761.293701171875
cmapss_two_baseline,2,208.0,0.4,autoencoder,17.280345916748047,18.6434383392334,1773.91455078125
cmapss_two_baseline,2,208.0,0.4,autoencoder,17.495834350585938,18.09218406677246,1748.1839599609375
cmapss_two_baseline,2,208.0,0.4,autoencoder,17.113771438598633,17.99268341064453,1753.192626953125
cmapss_two_baseline,2,208.0,0.4,autoencoder,16.814373016357422,18.887666702270508,1480.3779296875
cmapss_two_baseline,2,208.0,0.4,autoencoder,17.633535385131836,18.935327529907227,1871.189697265625
cmapss_two_baseline,2,208.0,0.4,autoencoder,17.341276168823242,17.905824661254883,1816.82373046875
cmapss_two_baseline,2,208.0,0.4,autoencoder,17.45578956604004,18.904335021972656,3426.27880859375
cmapss_two_baseline,2,4.0,0.6,autoencoder,36.26824951171875,34.52994155883789,128719.265625
cmapss_two_baseline,2,4.0,0.6,autoencoder,39.535377502441406,39.01932907104492,216675.90625
cmapss_two_baseline,2,4.0,0.6,autoencoder,23.365121841430664,24.037458419799805,8747.982421875
cmapss_two_baseline,2,4.0,0.6,autoencoder,36.23237228393555,35.07480239868164,89392.609375
